STATUS | wrapper  | 2012/10/01 11:23:21 | --> Wrapper Started as Console
STATUS | wrapper  | 2012/10/01 11:23:21 | Java Service Wrapper Community Edition 64-bit 3.5.13
STATUS | wrapper  | 2012/10/01 11:23:21 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2012/10/01 11:23:21 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2012/10/01 11:23:21 | 
STATUS | wrapper  | 2012/10/01 11:23:22 | Launching a JVM...
INFO   | jvm 1    | 2012/10/01 11:23:22 | WrapperManager: Initializing...
INFO   | jvm 1    | 2012/10/01 11:23:25 | Oct 01, 2012 11:23:25 AM org.neo4j.server.logging.Logger log
INFO   | jvm 1    | 2012/10/01 11:23:25 | INFO: Starting Neo Server on port [7474] with [60] threads available
INFO   | jvm 1    | 2012/10/01 11:23:25 | Oct 01, 2012 11:23:25 AM org.mortbay.log.Slf4jLog info
INFO   | jvm 1    | 2012/10/01 11:23:25 | INFO: Logging to org.slf4j.impl.JDK14LoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog
INFO   | jvm 1    | 2012/10/01 11:23:25 | Oct 01, 2012 11:23:25 AM org.neo4j.server.logging.Logger log
INFO   | jvm 1    | 2012/10/01 11:23:25 | INFO: Using database at /home/cshou/DataSys/PAFS/SPADE/database4fs
INFO   | jvm 1    | 2012/10/01 11:23:25 | Oct 01, 2012 11:23:25 AM org.neo4j.server.logging.Logger log
INFO   | jvm 1    | 2012/10/01 11:23:25 | WARNING: No database tuning properties set in the property file, using defaults. Please specify the performance properties file with org.neo4j.server.db.tuning.properties in the server properties file [null].
INFO   | jvm 1    | 2012/10/01 11:23:25 | Oct 01, 2012 11:23:25 AM org.neo4j.server.logging.Logger log
INFO   | jvm 1    | 2012/10/01 11:23:25 | INFO: Mounted discovery module at [/]
INFO   | jvm 1    | 2012/10/01 11:23:25 | Oct 01, 2012 11:23:25 AM org.neo4j.server.logging.Logger log
INFO   | jvm 1    | 2012/10/01 11:23:25 | INFO: Loaded server plugin "CypherPlugin"
INFO   | jvm 1    | 2012/10/01 11:23:25 | Oct 01, 2012 11:23:25 AM org.neo4j.server.logging.Logger log
INFO   | jvm 1    | 2012/10/01 11:23:25 | INFO: Loaded server plugin "GremlinPlugin"
